         7076151 function calls (6986028 primitive calls) in 66.852 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    124/6    0.000    0.000    0.186    0.031 <frozen importlib._bootstrap_external>:877(exec_module)
      124    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       16    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      291    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       22    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 BitmapGlyphMetrics.py:1(<module>)
        1    0.000    0.000    0.000    0.000 BitmapGlyphMetrics.py:31(BitmapGlyphMetrics)
        1    0.000    0.000    0.000    0.000 BitmapGlyphMetrics.py:55(BigGlyphMetrics)
        1    0.000    0.000    0.000    0.000 BitmapGlyphMetrics.py:58(SmallGlyphMetrics)
        1    0.000    0.000    0.002    0.002 C_F_F_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C_F_F_.py:6(table_C_F_F_)
        1    0.000    0.000    0.000    0.000 C_O_L_R_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C_O_L_R_.py:143(LayerRecord)
        1    0.000    0.000    0.000    0.000 C_O_L_R_.py:9(table_C_O_L_R_)
        1    0.000    0.000    0.000    0.000 C_P_A_L_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C_P_A_L_.py:14(table_C_P_A_L_)
        1    0.000    0.000    0.000    0.000 C_P_A_L_.py:237(Color)
        1    0.000    0.000    0.000    0.000 D_S_I_G_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 D_S_I_G_.py:114(SignatureRecord)
        1    0.000    0.000    0.000    0.000 D_S_I_G_.py:41(table_D_S_I_G_)
        1    0.000    0.000    0.000    0.000 DefaultTable.py:1(<module>)
        1    0.000    0.000    0.000    0.000 DefaultTable.py:4(DefaultTable)
